SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFileSD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
BackgroundFileDD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_DoubleDiffraction_OO_5362GeV_1505PR47944.root
xsec_SD: 0.3 xsec_DD: 0 xsec_had: 1.3 N: 31 xMax: 30 trkptcut: -1
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) Eff_DD(AND) Eff_DD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.982621 0.982628 0.211698 0.211714 0.63123 0.631264 0.788302 0.788286 0.952637 0.952634
1 0.982621 0.982628 0.211698 0.211714 0.63123 0.631264 0.788302 0.788286 0.952637 0.952634
2 0.979528 0.982624 0.189574 0.211392 0.608258 0.631102 0.810426 0.788608 0.957247 0.952703
3 0.964882 0.982494 0.06563 0.201206 0.505688 0.625614 0.93437 0.798794 0.984546 0.954873
4 0.958149 0.982187 0.021444 0.193982 0.457568 0.620442 0.978556 0.806018 0.994862 0.95641
5 0.953799 0.981722 0.01151 0.190472 0.430188 0.616532 0.98849 0.809528 0.997223 0.957145
6 0.949219 0.981071 0.0087 0.187576 0.407254 0.612404 0.9913 0.812424 0.997889 0.957743
7 0.943609 0.980163 0.006922 0.183866 0.382608 0.607118 0.993078 0.816134 0.99831 0.958507
8 0.93654 0.978913 0.005528 0.17954 0.356876 0.600178 0.994472 0.82046 0.99864 0.959394
9 0.928129 0.977284 0.004502 0.174512 0.330636 0.591564 0.995498 0.825488 0.998882 0.960423
10 0.918632 0.975343 0.003602 0.168728 0.303646 0.581446 0.996398 0.831272 0.999096 0.961611
11 0.908137 0.972806 0.002946 0.16242 0.276902 0.569488 0.997054 0.83758 0.999252 0.9629
12 0.896619 0.969861 0.002368 0.15576 0.250918 0.555598 0.997632 0.84424 0.999391 0.964263
13 0.884258 0.966374 0.001918 0.148782 0.225752 0.54053 0.998082 0.851218 0.9995 0.96569
14 0.871383 0.962444 0.001558 0.141452 0.20178 0.523666 0.998442 0.858548 0.999588 0.967196
15 0.857911 0.957995 0.001258 0.134162 0.179738 0.50572 0.998742 0.865838 0.999662 0.968694
16 0.844036 0.952992 0.000996 0.126786 0.158474 0.486698 0.999004 0.873214 0.999728 0.970213
17 0.829642 0.947436 0.00078 0.119532 0.140124 0.466542 0.99922 0.880468 0.999783 0.971709
18 0.814739 0.941409 0.000644 0.112542 0.123116 0.446354 0.999356 0.887458 0.999818 0.973153
19 0.800231 0.934979 0.00053 0.105572 0.107538 0.425352 0.99947 0.894428 0.999847 0.974605
20 0.785629 0.928201 0.000432 0.099056 0.093506 0.40456 0.999568 0.900944 0.999873 0.975965
21 0.771208 0.920865 0.000344 0.092622 0.081114 0.38363 0.999656 0.907378 0.999897 0.977315
22 0.756589 0.913387 0.000278 0.086634 0.070276 0.363074 0.999722 0.913366 0.999915 0.978581
23 0.742155 0.905404 0.00021 0.080828 0.061062 0.342844 0.99979 0.919172 0.999935 0.979814
24 0.727879 0.897292 0.000168 0.07552 0.052948 0.323234 0.999832 0.92448 0.999947 0.980948
25 0.713981 0.888916 0.000138 0.070426 0.0458 0.303972 0.999862 0.929574 0.999955 0.982045
26 0.700012 0.880298 0.000118 0.065652 0.039616 0.286022 0.999882 0.934348 0.999961 0.983081
27 0.686304 0.871608 0.000106 0.061158 0.034312 0.268336 0.999894 0.938842 0.999964 0.984066
28 0.672849 0.862676 9.2e-05 0.05682 0.029484 0.251534 0.999908 0.94318 0.999968 0.985028
29 0.659597 0.853568 7.6e-05 0.052876 0.025312 0.23595 0.999924 0.947124 0.999973 0.985906
30 0.646572 0.844383 6.6e-05 0.04927 0.021992 0.22096 0.999934 0.95073 0.999976 0.986713
